tool	key	action	context	source
karabiner	fn	Double-tap fn to cmd+opt+t	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	fn	Double-tap fn to cmd+opt+t	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	f4	Show Desktop with F4	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	cmd+h	Mac OSX: disable cmd + h to prevent minimising an application window	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	opt+shift+cmd+f12	Saves you from having to reset the computer if e.g. a program has captured the screen and hangs. It does so by sending the SIGKILL signal to the frontmost application. Note: Macos already has a similar keybinding: Press Shift+Option+Cmd+Esc for three seconds. However the built-in keybinding only sends SIGTERM, which doesn't always work, for instance if the program has a signal handler or runs in a debugger.	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	k+l	Home row chords: jk -> escape, kl -> ctrl-c	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	j+k	Home row chords: jk -> escape, kl -> ctrl-c	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	cmd+h	Change right_command+hjkl to arrow keys	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	cmd+j	Change right_command+hjkl to arrow keys	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	cmd+k	Change right_command+hjkl to arrow keys	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	cmd+l	Change right_command+hjkl to arrow keys	global	/Users/silasrhyneer/.config/karabiner/karabiner.json
karabiner	caps_lock		global	/Users/silasrhyneer/.config/karabiner/karabiner.json
tmux	ctrl+h	Pane navigation	root	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	ctrl+l	select-pane -t :.+	root	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	ctrl+p	Window navigation	root	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	ctrl+n	next-window	root	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	p	Move windows	prefix	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	n	swap-window -t +1\; select-window -t +1	prefix	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	mousedown1pane	select-pane -t=	root	/Users/silasrhyneer/.config/tmux/tmux.conf
tmux	"'""'"	Split panes in current directory (auto re-tile horizontally)	prefix	/Users/silasrhyneer/.config/tmux/tmux.conf
